courseId,courseName,defaultSemester,creditHours,preRequisitesCourses,numberOfChildren
10610014,BEGINNING ENGLISH,1,0,0,1
100411010,CALCULUS I,1,3,0,2
240111000,COMPUTER SKILLS,1,2,0,0
100111010,GENERAL PHYSICS I,1,3,0,1
100111051,GENERAL PHYSICS LAB I,1,1,0,1
10610025,INTERMEDIATE ENGLISH,1,2,0,1
10610026,INTERMEDIATE ENGLISH LAB,1,1,0,0
240111030,PROGRAMMING FUNDAMENTALS (C++),1,3,0,2
240111020,PROGRAMMING FUNDAMENTALS I (LAB),1,1,0,0
10610035,ADVANCED ENGLISH,2,2,1,2
10610036,ADVANCED ENGLISH LAB,2,1,1,3
100411020,CALCULUS II,2,3,1,2
230211210,DIGITAL LOGIC DESIGN,2,3,0,3
230711110,ENGINEERING DRAWING,2,2,0,0
100111021,GENERAL PHYSICS II,2,3,1,2
240112001,PROGRAMMING FUNDAMENTALS II,2,3,1,2
230212110,DIGITAL LOGIC DESIGN LAB,3,1,1,0
100413750,DISCRETE MATHEMATICS,3,3,1,1
230112120,ELECTRICAL CIRCUITS I,3,3,2,3
100412021,ENGINEERING MATHEMATICS I,3,3,1,4
230111050,ENGINEERING WORKSHOP I,3,1,0,1
240212010,PRINCIPLES OF OBJECT ORIENTED PROGRAMMING,3,3,1,1
230213120,COMPUTER ORGANIZATION,4,3,1,3
240112030,DATA STRUCTURES,4,3,2,4
230112210,ELECTRICAL CIRCUITS II,4,3,2,1
100413020,ENGINEERING MATHEMATICS II,4,3,1,0
230112050,ENGINEERING WORKSHOP II,4,1,1,0
230112240,SIGNALS AND SYSTEMS,4,3,2,1
230213220,ADVANCED DIGITAL SYSTEMS DESIGN,5,3,1,0
230213150,ALGORITHMS ANALYSIS AND DESIGN,5,3,1,1
230215210,DATABASE LAB,5,1,1,2
230113120,ELECTRICAL CIRCUITS LAB,5,1,1,1
230113110,ELECTRONICS I,5,3,1,1
230213230,INTRODUCTION TO DATABASE SYSTEMS,5,3,1,2
40511011,PALESTINIAN STUDIES,5,2,0,0
40111001,ARABIC LANGUAGE,6,2,0,0
230213210,DATA & COMPUTER NETWORKS,6,3,1,1
230113250,ELECTRONICS II,6,3,2,1
230213240,MICROPROCESSOR SYSTEMS & APPLICATIONS,6,3,1,3
100413310,NUMERICAL METHODS,6,3,1,0
230214130,OPERATING SYSTEMS,6,3,2,2
230215130,ASSEMBLY PROGRAMMING LAB,7,1,1,0
230113220,ELECTRONICS LAB,7,1,2,0
230113140,PROBABILITY AND RANDOM VARIABLES,7,3,1,0
230214230,SOFTWARE ENGINEERING,7,3,1,0
230212300,TECHNICAL WRITING,7,1,1,1
230215640,WEB PROGRAMMING,7,3,2,0
230214520,ARTIFICIAL INTELLIGENCE,8,3,1,0
230214220,COMPUTER NETWORK LAB,8,1,1,0
230215120,EMBEDDED SYSTEMS,8,3,2,1
40521301,FUNDAMENTALS OF RESEARCH METHODS,8,2,1,1
230214160,MICROPROCESSOR LAB,8,1,1,0
230215140,EMBEDDED SYSTEMS LAB,9,1,1,0
230215170,ENGINEERING PROJECT MANAGEMENT,9,3,0,0
240113992,INTERNSHIP,9,6,0,0
230215150,LINUX LAB,9,1,1,0
230215110,SENIOR PROJECT I,9,2,1,1
230711200,STATICS,9,3,2,0
230215220,SENIOR PROJECT II,10,3,1,0
